@RELATION Protein
@ATTRIBUTE Characters {o,A,B,C,D,E,F,G,H,I,J,a,b,c,d,e,f,g,h,i,j}
@DATA
o
o
o
o
D
o
b
C
o
o
A
A
o
o
o
o
D
o
o
B
C
J
F
A
o
o
f
B
a
d
D
B
a
a
B
o
F
f
b
a
E
a
b
o
B
o
E
I
A
f
E
F
o
b
b
A
o
A
A
a
o
C
d
o
b
e
G
A
c
i
a
F
d
j
C
g
i
I
I
H
c
d
D
C
a
o
o
B
a
i
A
B
d
A
A
G
a
o
o
D
o
c
o
o
o
e
B
o
e
j
g
B
G
C
o
o
o
c
B
B
a
c
b
o
E
b
o
B
o
a
o
a
o
a
o
C
A
A
o
a
A
A
A
o
b
E
o
a
o
b
o
B
o
o
C
o
o
o
a
o
A
b
o
C
c
B
o
o
o
o
o
c
A
B
o
o
B
a
A
A
A
o
o
o
B
B
J
a
C
d
D
d
A
b
c
o
o
o
a
o
D
a
B
a
a
C
E
o
a
c
c
A
B
a
b
F
o
c
H
o
a
c
o
d
o
e
a
A
B
b
b
o
B
o
C
C
o
f
c
D
o
A
a
D
B
b
o
o
A
c
C
C
A
c
I
C
g
j
j
B
g
g
F
i
d
I
I
G
g
i
D
H
o
B
A
c
e
j
E
B
e
A
I
o
d
o
o
B
o
d
o
o
o
h
B
e
g
i
g
D
C
G
d
g
J
A
F
o
o
b
e
c
H
b
o
C
o
b
A
b
o
o
B
B
a
D
o
a
A
A
A
a
g
B
o
B
C
c
C
B
C
o
C
o
A
d
a
B
o
o
a
o
o
A
o
o
a
o
o
b
o
C
o
b
o
B
A
o
C
o
o
c
A
b
B
A
o
o
a
b
C
a
a
B
b
A
D
B
o
o
o
o
A
A
o
o
A
B
b
H
A
a
d
A
o
b
F
E
a
A
a
c
A
a
o
o
E
o
b
C
A
o
C
D
o
g
B
F
o
E
a
C
C
b
o
B
o
c
E
a
e
d
A
A
g
j
i
I
d
i
a
f
g
J
H
J
a
i
D
F
o
o
C
D
b
j
C
G
e
E
o
E
c
a
B
E
o
A
o
a
D
i
B
d
g
i
i
C
F
D
o
o
o
d
B
B
b
a
h
o
H
c
o
C
o
a
A
b
o
c
o
D
o
C
o
o
A
A
o
A
c
D
B
o
o
b
B
o
o
o
C
o
A
A
o
o
o
b
o
o
a
A
o
o
o
o
a
e
C
o
o
a
C
c
o
o
b
A
o
o
B
o
D
o
