@RELATION Protein
@ATTRIBUTE Characters {o,A,B,C,D,E,F,a,b,c,d,e,f}
@DATA
o
o
o
o
D
o
b
C
o
o
A
A
o
o
o
o
D
o
o
B
C
F
E
A
o
o
e
B
a
d
D
B
a
a
B
o
E
e
b
a
D
a
b
o
B
o
D
E
A
e
D
E
o
b
b
A
o
A
A
a
o
C
d
o
b
d
E
A
c
e
a
E
d
f
C
e
e
E
E
E
c
d
D
C
a
o
o
B
a
e
A
B
d
A
A
E
a
o
o
D
o
c
o
o
o
d
B
o
d
f
e
B
E
C
o
o
o
c
B
B
a
c
b
o
D
b
o
B
o
a
o
a
o
a
o
C
A
A
o
a
A
A
A
o
b
D
o
a
o
b
o
B
o
o
C
o
o
o
a
o
A
b
o
C
c
B
o
o
o
o
o
c
A
B
o
o
B
a
A
A
A
o
o
o
B
B
F
a
a
a
o
c
o
o
o
e
A
o
e
A
c
A
a
B
d
o
C
c
c
o
B
b
B
o
B
o
A
o
o
C
b
A
A
o
o
A
o
o
d
o
b
o
C
o
A
o
o
a
c
a
A
o
a
A
A
A
a
o
o
A
A
a
B
o
o
A
o
a
a
A
o
o
o
o
a
o
e
o
o
a
A
f
C
d
D
d
A
b
c
o
o
o
a
o
D
a
B
a
a
C
D
o
a
c
c
A
B
a
b
E
o
c
E
o
a
c
o
d
o
d
a
A
B
b
b
o
B
o
C
C
o
e
c
D
o
A
a
D
B
b
o
o
A
c
C
C
A
c
E
C
e
f
f
B
e
e
E
e
d
E
E
E
e
e
D
E
o
B
A
c
d
f
D
B
d
A
E
o
d
o
o
B
o
d
o
o
o
e
B
d
e
e
e
D
C
E
d
e
F
A
E
o
o
b
d
c
E
b
o
C
o
b
A
b
o
o
B
B
a
D
o
a
A
A
A
a
e
B
o
B
C
c
C
B
C
o
C
o
A
d
a
B
o
o
a
o
o
A
o
o
a
o
o
b
o
C
o
b
o
B
A
o
C
o
o
c
A
b
B
A
a
a
o
a
B
o
b
e
A
A
e
D
c
A
c
A
b
B
A
a
o
B
a
c
b
o
B
A
D
d
o
a
a
C
o
o
o
F
o
o
f
A
e
D
D
b
b
A
a
a
a
o
D
o
a
B
B
A
o
A
b
o
o
a
B
o
o
A
o
a
a
A
a
A
o
o
o
o
a
b
o
a
A
b
o
o
a
b
C
a
a
B
b
A
D
B
o
o
o
o
A
A
o
o
A
B
b
E
A
